,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
529,Mattia Vitale,it ITA,MFFW,SPAL,19,1997,1.1,0,2,0,0.0,1.84,0.00,0.00,,19.5,0,0,0,0.3,0.3,0.17,-0.3,-0.3,Matches,8e4b894b
530,Federico Viviani,it ITA,MF,SPAL,25,1992,27.6,3,51,14,27.5,1.85,0.51,0.06,0.21,26.9,19,0,1,3.4,2.6,0.05,-0.4,+0.4,Matches,2258c078
531,Emiliano Viviano,it ITA,GK,Sampdoria,31,1985,27.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,03760df0
532,Giovanni Volpicelli,it ITA,MF,Benevento,17,1999,0.0,0,1,0,0.0,22.50,0.00,0.00,,28.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,844a87c2
533,Stefan de Vrij,nl NED,DF,Lazio,25,1992,33.7,6,14,7,50.0,0.42,0.21,0.43,0.86,12.8,0,0,0,2.1,2.1,0.15,+3.9,+3.9,Matches,d0d8dd44
534,Jagoš Vuković,rs SRB,DF,Hellas Verona,29,1988,14.8,1,3,1,33.3,0.20,0.07,0.33,1.00,14.1,0,0,0,0.2,0.2,0.08,+0.8,+0.8,Matches,ba06950a
535,Molla Wagué,ml MLI,DF,Udinese,26,1991,0.6,0,1,0,0.0,1.58,0.00,0.00,,11.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,a440d8ca
536,Wallace,br BRA,DF,Lazio,22,1994,11.1,0,9,1,11.1,0.81,0.09,0.00,0.00,23.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,d61b3354
537,Silvan Widmer,ch SUI,DFFW,Udinese,24,1993,18.1,3,12,3,25.0,0.66,0.17,0.25,1.00,15.6,0,0,0,1.4,1.4,0.11,+1.6,+1.6,Matches,f68b64fc
538,Jawad El Yamiq,ma MAR,DF,Genoa,25,1992,4.0,0,1,0,0.0,0.25,0.00,0.00,,25.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,f6f6b6e8
