,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
146,Giovanni Crociata,it ITA,MFFW,Crotone,19,1997,3.2,9,6,3,4,2,1,4,25.0,3,7,0,7,4,13,3,0,Matches,8c964914
147,Luca Crosta,it ITA,GK,Cagliari,19,1998,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,a4ec7d09
148,Juan Cuadrado,co COL,FWMF,Juventus,29,1988,15.0,28,19,17,9,2,11,27,40.7,16,14,0,14,19,47,14,1,Matches,0ab1f153
149,Patrick Cutrone,it ITA,FW,Milan,19,1998,16.7,11,10,2,7,2,1,10,10.0,9,11,1,10,3,14,12,0,Matches,a4fe8cda
150,Marco D'Alessandro,it ITA,MFFW,Benevento,26,1991,11.6,31,22,15,9,7,8,24,33.3,16,12,1,11,10,41,8,1,Matches,060606ec
151,Danilo D'Ambrosio,it ITA,DF,Inter,28,1988,33.1,82,64,38,35,9,30,59,50.8,29,31,7,24,45,127,68,1,Matches,44eb9093
152,Bryan Dabo,bf BFA,MF,Fiorentina,25,1992,6.6,17,11,6,10,1,6,15,40.0,9,13,1,12,15,32,24,1,Matches,c53083ad
153,Dario Dainelli,it ITA,DF,Chievo,38,1979,16.7,19,14,14,4,1,10,21,47.6,11,27,22,5,46,65,126,0,Matches,3858e611
154,Felipe dal Belo,br BRA,DF,SPAL,33,1984,28.6,51,34,32,16,3,25,49,51.0,24,42,24,18,48,99,157,1,Matches,8cea6319
155,Andrea Danzi,it ITA,MF,Hellas Verona,18,1999,4.4,11,6,7,4,0,5,13,38.5,8,3,0,3,5,16,5,1,Matches,263b855a
156,Sebastien De Maio,fr FRA,DF,Bologna,30,1987,22.8,26,17,15,11,0,10,25,40.0,15,35,18,17,36,62,147,0,Matches,952a03fe
157,Rodrigo De Paul,ar ARG,FWMF,Udinese,23,1994,25.8,31,18,10,17,4,4,32,12.5,28,34,1,33,16,47,8,0,Matches,162efffd
158,Daniele De Rossi,it ITA,MF,Roma,34,1983,20.3,23,13,12,9,2,9,33,27.3,24,18,13,5,43,66,45,2,Matches,532d2690
159,Mattia De Sciglio,it ITA,DF,Juventus,24,1992,10.8,22,17,7,13,2,9,13,69.2,4,12,2,10,14,36,32,0,Matches,ae4e2852
160,Lorenzo De Silvestri,it ITA,DF,Torino,29,1988,32.8,39,25,19,13,7,16,26,61.5,10,47,10,37,27,66,165,0,Matches,e74f0e59
161,Grégoire Defrel,mq MTQ,FWMF,Roma,26,1991,5.4,8,3,1,1,6,2,8,25.0,6,5,0,5,3,11,6,0,Matches,854ee61a
162,Alessandro Deiola,it ITA,MF,Cagliari,21,1995,5.0,9,7,5,3,1,6,13,46.2,7,8,0,8,4,13,12,0,Matches,7f267d66
163,Lorenzo Del Pinto,it ITA,MF,Benevento,27,1990,8.4,23,17,10,10,3,7,25,28.0,18,13,4,9,16,39,7,2,Matches,081b6080
164,Cristian Dell'Orco,it ITA,DF,Sassuolo,23,1994,4.7,4,1,1,2,1,1,3,33.3,2,5,1,4,10,14,19,0,Matches,b0243215
165,Fabio Depaoli,it ITA,DFMF,Chievo,20,1997,13.2,31,22,21,7,3,21,40,52.5,19,27,10,17,15,46,42,0,Matches,d97f2e8d
