Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribble,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Emil Audero,Sampdoria,26, GK  ,36,3240,0,0,0,0,0,0.1,0,0,0,6.57
Martín Cáceres,Fiorentina,35," D(CLR),M(R)  ",27,2359,1,0,0.4,0.6,0,0.6,0,0.1,0.3,6.57
Manuel Lazzari,Lazio,29," D(R),M(R)  ",29(3),2555,0,3,0.5,1.1,1,1.3,0.2,0.5,1.2,6.57
Bruno Alves,Parma Calcio 1913,41, D(C)  ,31(2),2673,0,0,0.7,0.2,0,0.4,0,0.1,0.2,6.57
Walace,Udinese,27, DMC  ,12(8),1137,0,0,0.6,0.5,0.7,0.8,0.1,0.9,1.7,6.56
Andrea Pinamonti,Genoa,23, FW  ,23(9),2242,5,1,1.6,0.5,0.6,1.6,0.5,1.6,2.2,6.56
Gary Medel,Bologna,35," D(C),DMC  ",22(1),1796,0,0,0.2,0.4,0.6,1.2,0,0.4,0.6,6.56
Mirko Valdifiori,SPAL 2013,36, DMC  ,15(7),1401,0,3,0.2,1.7,0.4,0.6,0,0.3,0.5,6.56
Charalampos Lykogiannis,Cagliari,29," D(CL),M(L)  ",14(6),1339,0,1,0.7,0.4,0.6,0.7,0.2,0.3,0.9,6.56
Danilo,Bologna,38, D(C)  ,30,2642,2,0,0.3,0.2,0.1,0.8,0.1,0,0.4,6.56
Marco Parolo,Lazio,38, M(C)  ,17(12),1696,1,0,0.6,0.3,0.1,0.2,0,0.2,0.6,6.56
Jens Stryger Larsen,Udinese,32," D(CLR),M(LR)  ",32(1),2796,1,3,0.4,0.7,0.5,0.2,0,0.4,0.9,6.56
Rachid Ghezzal,Fiorentina,30, AM(CLR)  ,9(10),826,1,0,0.6,0.9,0.7,0.8,0.1,0.9,1,6.56
Patric,Lazio,29," D(CR),M(R)  ",19(2),1677,0,0,0.3,0.2,0.2,0.5,0,0,0.3,6.56
Pierluigi Gollini,Atalanta,27, GK  ,33,2884,0,0,0,0,0,0.3,0,0,0,6.56
Borja Valero,Inter,38, M(CL)  ,9(10),923,2,0,0.6,0.5,0.4,0.7,0.1,0.4,0.5,6.55
Mateo Musacchio,AC Milan,32, D(C)  ,17(1),1467,0,0,0.3,0.6,0.2,0.6,0,0.2,0.5,6.55
Jacopo Petriccione,Lecce,28, M(C)  ,24(7),2143,0,5,0.6,1.3,0.6,0.9,0,0.5,0.6,6.55
Luca Pellegrini,Cagliari,24," D(L),M(L)  ",22(2),1914,0,5,0.6,0.9,1.3,0.9,0,0.9,1.5,6.55
Bartosz Bereszynski,Sampdoria,30," D(CLR),M(R)  ",27(1),2404,0,0,0.6,0.3,0.5,0.8,0,0.5,0.6,6.54
Fabio Depaoli,Sampdoria,25," D(R),DMC,M(LR)  ",21(8),1857,0,1,0.9,1,0.7,1,0.1,0.5,1,6.54
Andrea Cistana,Brescia,25, D(C)  ,21,1839,1,0,0.3,0.1,0.1,0.7,0,0,0.4,6.54
Gian Marco Ferrari,Sassuolo,30, D(C)  ,21(2),1896,0,1,0.5,0.3,0.1,0.6,0,0.2,0.3,6.54
Simone Iacoponi,Parma Calcio 1913,35, D(CR)  ,34(2),3054,2,0,0.3,0.1,0.1,1,0,0.2,0.4,6.53
Lucas Paquetá,AC Milan,25," M(CLR),FW  ",12(12),1102,0,1,1.4,0.8,1,1,0.1,1.5,1.4,6.53
Jeremy Toljan,Sassuolo,28," D(LR),M(LR)  ",25(4),2190,1,2,0.3,1,0.6,0.7,0.1,0.6,1,6.53
Blaise Matuidi,Juventus,35, M(CL)  ,23(12),2232,0,2,0.4,0.5,0.3,0.7,0.1,0.5,1.1,6.53
William Troost-Ekong,Udinese,29, D(C)  ,29(1),2577,0,0,0.2,0.1,0.1,0.3,0,0.2,0.2,6.53
Bryan Cristante,Roma,28," D(C),M(C)  ",18(8),1644,1,3,1.1,0.8,0.4,0.2,0,0.5,0.6,6.53
Jakub Jankto,Sampdoria,27, M(CLR)  ,25(5),2104,2,4,1.4,1.5,0.2,0.5,0.1,0.4,0.8,6.52
Panagiotis Tachtsidis,Lecce,32, DMC  ,24(4),2006,0,2,1,0.9,0.7,1,0,0.6,1,6.52
Federico Bernardeschi,Juventus,29," M(CLR),FW  ",19(10),1576,1,1,1.7,1.2,0.8,0.8,0.2,0.8,1.4,6.52
Hirving Lozano,Napoli,27," AM(LR),FW  ",10(16),1021,4,1,1.3,0.8,0.9,1.4,0.2,0.6,1,6.52
Samuel Di Carmine,Verona,34, FW  ,17(5),1303,8,0,1.5,0.3,0.1,1.2,0.8,0.6,1.3,6.52
Marco Calderoni,Lecce,34, D(L)  ,24(2),2066,3,2,0.9,0.8,0.3,1.4,0.1,0.3,1,6.52
Antonino Barillà,Parma Calcio 1913,34, M(C)  ,20(6),1691,1,2,0.7,0.6,0.2,0.8,0.1,0.4,1,6.51
Mato Jajalo,Udinese,34, M(C)  ,19(7),1653,0,0,0.6,0.5,1.1,1,0,0.6,0.8,6.51
Filippo Romagna,Sassuolo,25, D(C)  ,16(2),1477,0,0,0.1,0.2,0.1,0.7,0,0,0.2,6.50
Krzysztof Piatek,AC Milan,27, FW  ,14(4),1190,4,0,2.7,0.9,0.3,1.5,0.3,1.4,2.2,6.50
Mattia Perin,Genoa,30, GK  ,21,1890,0,0,0,0.1,0,0,0,0,0,6.49
Valerio Verre,Verona,29," AM(CL),FW  ",22(10),1786,3,2,1.3,0.9,0.4,0.9,0.2,0.9,1.9,6.49
Ivan Radovanovic,Genoa,34," D(C),DMC  ",15(4),1318,0,1,0.8,0.8,0.1,0.8,0,0.3,0.6,6.49
Francesco Magnanelli,Sassuolo,38, DMC  ,15(7),1394,0,0,0.4,0.6,0.3,1.6,0,0.2,0.6,6.49
Patrick Cutrone,Fiorentina,25, FW  ,9(10),842,4,1,1.1,0.3,0.3,0.5,0.6,0.5,1.9,6.48
Jerdy Schouten,Bologna,26, DMC  ,13(6),1083,0,0,0.4,0.5,0.9,0.2,0,0.7,0.9,6.48
Giorgos Kyriakopoulos,Sassuolo,27," D(L),M(L)  ",17(9),1641,0,1,0.8,0.3,0.6,1.2,0.1,0.5,0.8,6.48
Goran Pandev,Genoa,39," M(CR),FW  ",18(16),1683,9,1,1.1,0.6,0.8,1.4,0.2,1.2,2.1,6.47
Ronaldo Vieira,Sampdoria,24, DMC  ,20(7),1821,0,1,1.1,0.9,0.4,0.6,0,1,0.5,6.47
Arkadiusz Reca,SPAL 2013,27," D(L),M(L)  ",22(3),1932,0,2,0.8,1,1.1,0.5,0.1,0.8,1.4,6.47
Fabio Pisacane,Cagliari,37, D(CLR)  ,28(2),2451,1,0,0.2,0.1,0.2,0.8,0.1,0.1,0.6,6.47
Khouma Babacar,Lecce,29," AM(R),FW  ",17(8),1431,3,0,2,0.6,0.6,1.3,0.3,1.1,2.3,6.46
Diego Farias,Lecce,32," AM(CLR),FW  ",7(11),820,2,0,1.3,0.7,1.1,0.9,0.1,0.9,1.1,6.45
Dusan Vlahovic,Fiorentina,23, FW  ,13(17),1494,6,0,2.2,0.3,0.9,1.6,0.3,1.5,2.4,6.45
Ibrahima Mbaye,Bologna,28," D(LR),M(LR)  ",16(4),1507,0,3,0.3,0.4,0.5,0.9,0.1,0.4,0.6,6.44
Gabriel Strefezza,SPAL 2013,25, M(LR)  ,24(8),2117,1,2,1.7,0.8,1.3,1.9,0.1,1.6,1.2,6.44
Lorenzo De Silvestri,Torino,34," D(R),M(R)  ",28(1),2251,0,0,0.8,0.7,0.1,0.5,0.2,0.5,0.9,6.43
Ales Mateju,Brescia,26, D(CLR)  ,28(3),2548,0,1,0.2,0.3,0.5,0.9,0,0.3,0.6,6.43
Lukas Lerager,Genoa,29, M(CR)  ,15(6),1387,1,1,0.7,0.5,0.2,1.1,0.1,0.4,1,6.43
Stefano Denswil,Bologna,29, D(CL)  ,25(1),2241,0,1,0.4,0.3,0.2,1.1,0,0.1,0.4,6.43
Marco Benassi,Fiorentina,28, M(CR)  ,10(8),980,1,1,1.1,0.9,0.4,0.3,0,0.4,1.1,6.42
Danilo Cataldi,Lazio,28, M(C)  ,3(18),581,1,0,0.4,0.6,0.1,0.1,0,0.1,0.5,6.42
Luca Rossettini,Lecce,37, D(CR)  ,25(1),2262,0,2,0.2,0.2,0.1,0.3,0,0.1,0,6.42
Žan Majer,Lecce,30, AM(C)  ,19(8),1670,1,1,0.7,0.7,0.4,0.6,0,0.7,0.9,6.42
Rômulo,Brescia,35," D(R),M(CR)  ",19(3),1726,1,3,0.8,0.8,1.1,1.1,0.4,0.8,1.7,6.41
Paolo Ghiglione,Genoa,26," D(R),M(R)  ",20(5),1720,0,5,0.9,0.9,0.7,0.8,0.1,0.9,1.2,6.41
Yevhen Shakhov,Lecce,32, M(C)  ,9(15),1079,1,2,0.6,0.6,0.5,0.4,0.2,0.6,0.9,6.41
Eljif Elmas,Napoli,23, M(CLR)  ,12(14),1128,1,1,0.9,0.6,0.9,0.6,0,0.6,1.1,6.40
Federico Di Francesco,SPAL 2013,28," M(LR),FW  ",13(7),1086,2,0,1.3,0.9,0.8,1.5,0.2,0.8,1.2,6.40
Francesco Vicari,SPAL 2013,28, D(C)  ,33(1),2901,0,0,0.3,0.1,0,0.4,0,0,0.1,6.40
Jony,Lazio,31, M(LR)  ,14(10),1178,0,1,0.5,0.8,0.4,0.6,0.2,0.3,0.9,6.40
Ragnar Klavan,Cagliari,37, D(C)  ,26(5),2353,0,0,0.1,0.2,0.1,0.2,0,0.1,0.3,6.39
Alessandro Murgia,SPAL 2013,26, DMC  ,19(6),1753,0,1,1,1.2,0.4,0.9,0.1,0.7,0.9,6.39
Federico Peluso,Sassuolo,39," D(CL),M(L)  ",17(6),1514,0,2,0.3,0.2,0.3,0.6,0,0.2,0.3,6.38
Alfredo Donnarumma,Brescia,32, FW  ,20(11),1687,7,2,1.4,0.5,0.4,1.1,0.4,0.9,1.2,6.38
Ilija Nestorovski,Udinese,32, FW  ,15(13),1249,3,1,1.3,0.6,0.2,1,0.3,0.5,1,6.37
Fabio Lucioni,Lecce,35, D(C)  ,36,3134,3,0,0.4,0.1,0.2,0.4,0,0.1,0.3,6.37
Artur Ionita,Cagliari,32, M(CR)  ,21(13),1925,0,2,0.5,0.6,0.4,0.4,0,0.5,0.3,6.37
