Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Ollie Watkins,Aston Villa,27," AM(LR),FW  ",33(2),2955,0.5,0.3,0.9,0,0.7,0.4,0.1,0,6.90
Leandro Trossard,Brighton,28," M(CLR),FW  ",32(2),2812,1,0.4,0.7,0,0.2,0.8,0.1,0,6.90
Youri Tielemans,Leicester,25, M(C)  ,29(3),2634,2.3,0.7,1,0,1.1,1.8,0.4,0,6.90
Scott McTominay,Man Utd,26," D(C),DMC  ",28(2),2393,2.2,1,1.8,0.1,2,1,0.3,0,6.89
Alex Telles,Man Utd,30," D(L),M(L)  ",18(3),1660,2.3,1.2,1.1,0.1,2,0.8,0.2,0,6.89
Nathan Collins,Burnley,21, D(CR)  ,18(1),1670,1.9,1.3,1.1,0.3,4.3,0.5,1.3,0,6.89
Emmanuel Dennis,Watford,25," M(LR),FW  ",30(3),2591,1.5,0.5,1.8,0,0.4,1.1,0.1,0,6.89
Alisson,Liverpool,30, GK  ,36,3240,0.1,0,0,0,1.3,0.1,0,1,6.88
Maximilian Kilman,Wolves,25, D(C)  ,30,2689,1.7,1.5,0.6,0.5,3.5,0.4,0.7,0,6.87
Ruben Loftus-Cheek,Chelsea,27, M(CLR)  ,13(11),1388,1.2,0.5,0.8,0,0.7,0.4,0.3,0,6.87
Antonio Rüdiger,Chelsea,30, D(CR)  ,34,3035,1.4,0.8,1,0.4,2.6,0.4,0.3,0,6.87
Emerson Royal,Tottenham,24," D(R),M(R)  ",26(5),2291,2.3,0.7,0.9,0.1,2.5,1,0.1,0,6.87
Fred,Man Utd,30, M(C)  ,24(4),2036,2.3,1.1,1.1,0,0.7,2,0.4,1,6.87
Oriol Romeu,Southampton,31, DMC  ,34(2),2899,2.1,1.4,1.3,0.1,1.1,1.3,0.2,0,6.87
Davinson Sánchez,Tottenham,26, D(C)  ,17(6),1626,1.8,1.3,0.7,0.3,2.3,0.4,0.7,0,6.87
Jordan Henderson,Liverpool,32," D(C),M(CLR)  ",29(6),2604,1,0.7,0.7,0.1,0.3,0.8,0,0,6.87
Hassane Kamara,Watford,29," D(L),M(LR)  ",18(1),1625,2.8,3.6,1.3,0.1,3.2,0.8,0.2,0,6.86
Liam Cooper,Leeds,31, D(C)  ,21,1815,2,2,0.9,0.2,3.4,0.5,0.9,0,6.86
Josh Brownhill,Burnley,27, M(CR)  ,32(3),2953,2.1,1.9,1.1,0,1.1,0.9,0.3,0,6.86
Saïd Benrahma,West Ham,27, AM(CLR)  ,26(6),2184,0.9,0.3,0.3,0,0.2,0.7,0,0,6.86
Gabriel Martinelli,Arsenal,21," AM(L),FW  ",21(8),1866,0.9,0.7,0.8,0,0.4,0.7,0,0,6.86
Diogo Dalot,Man Utd,23," D(LR),M(R)  ",19(5),1799,2.3,1.2,0.8,0.2,2.3,1.1,0.5,0,6.86
