Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Kevin Bonifazi,Udinese,26, D(C)  ,28(2),2472,0,0,4,0,0.6,88.8,1.4,1,6.53
Sofyan Amrabat,Fiorentina,26, DMC  ,28(3),2444,0,0,7,0,0.3,88.8,0.6,0,6.53
Nicolas Nkoulou,Torino,32, D(C)  ,16(2),1359,1,0,5,0,0.2,86,1.4,0,6.53
Gastón Ramírez,Sampdoria,32," AM(CLR),FW  ",10(15),966,0,4,5,0,0.5,78.2,1.1,0,6.53
Aleksey Miranchuk,Atalanta,27," M(CR),FW  ",4(21),661,4,2,0,0,0.6,79.5,0.3,1,6.53
Danilo,Bologna,38, D(C)  ,34(1),3131,0,1,8,0,0.5,80.7,2.3,0,6.53
Gaetano Castrovilli,Fiorentina,26, M(C)  ,29(5),2349,5,3,8,1,0.9,78.5,0.4,2,6.53
Mattias Svanberg,Bologna,24, M(CL)  ,24(10),1863,5,2,6,1,1.7,79.6,0.6,2,6.52
Ivan Radovanovic,Genoa,34," D(C),DMC  ",24(9),2228,0,0,6,0,0.2,85.1,1.7,0,6.52
Nicolás Domínguez,Bologna,24, M(C)  ,15(13),1258,1,0,8,0,0.6,87.1,0.7,0,6.52
Andrea Masiello,Genoa,37, D(CR)  ,30,2567,0,0,6,0,0.2,83.8,1.3,0,6.52
Walace,Udinese,27, DMC  ,23(7),2059,0,0,4,0,0.6,88.5,0.4,0,6.52
Ivan Provedel,Spezia,28, GK  ,29,2610,0,0,1,0,0,72,0.3,1,6.52
Miha Zajc,Genoa,28," M(C),FW  ",22(9),1871,1,3,4,0,0.6,84.6,0.6,1,6.51
Riccardo Improta,Benevento,29," DMC,M(L)  ",23(11),2335,1,0,7,0,1,73.2,1.4,1,6.51
Riccardo Gagliolo,Parma Calcio 1913,32, D(CL)  ,22(6),1956,2,2,6,0,0.7,81.3,1,0,6.51
Maxime Lopez,Sassuolo,25, M(CR)  ,22(7),1871,2,0,7,0,0.3,94.1,0.1,0,6.51
