Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribble,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Fabian Kunze,Arminia Bielefeld,24, DMC  , DMC  ,12(14),0,0,0.3,0.2,0.3,1,0,0.3,0.5,6.32
Tobias Strobl,Augsburg,32," D(CR),DMC  "," D(CR),DMC  ",21(8),0,0,0.2,0.5,0.3,0.9,0,0.6,1,6.32
Pascal Stenzel,Stuttgart,26," D(CR),M(R)  "," D(CR),M(R)  ",14(9),0,1,0.2,0.2,0.3,0.2,0,0.1,0.5,6.32
Hannes Wolf,Borussia M.Gladbach,23, M(CLR)  , M(CLR)  ,14(18),3,2,0.5,0.5,0.5,0.8,0.1,1.1,1.3,6.32
Michael Gregoritsch,Augsburg,28," AM(CR),FW  "," AM(CR),FW  ",9(15),1,2,0.5,0.2,0.4,0.6,0.2,0.6,0.9,6.31
Niklas Moisander,Werder Bremen,37, D(C)  , D(C)  ,12(6),0,0,0,0.1,0.1,0.4,0,0.2,0.3,6.31
Marius Bülter,Union Berlin,29," D(R),M(CLR),FW  "," D(R),M(CLR),FW  ",8(18),1,0,0.7,0.5,0.4,0.6,0.1,0.4,1.1,6.30
Oscar Wendt,Borussia M.Gladbach,37," D(L),M(L)  "," D(L),M(L)  ",15(7),1,1,0.3,0.4,0.2,0.1,0,0.1,0.2,6.29
Cedric Teuchert,Union Berlin,26," AM(CLR),FW  "," AM(CLR),FW  ",5(19),3,1,1,0.3,0.3,0.6,0.1,0.7,1,6.29
Robert Gumny,Augsburg,24, D(CLR)  , D(CLR)  ,14(10),1,1,0.3,0.3,0.3,0.8,0,0.7,1,6.28
Salih Özcan,FC Koln,25, M(C)  , M(C)  ,15(13),0,1,0.4,0.4,0.3,1.5,0.1,0.8,1.3,6.28
Julian Ryerson,Union Berlin,25," D(R),M(CLR)  "," D(R),M(CLR)  ",10(14),0,1,0.3,0.3,0.5,0.5,0,0.5,1,6.28
Mijat Gacinovic,Hoffenheim,28, M(CLR)  , M(CLR)  ,7(16),0,2,0.6,0.5,0.2,0.3,0,0.2,0.6,6.27
Yuya Osako,Werder Bremen,32," AM(CLR),FW  "," AM(CLR),FW  ",7(17),0,1,0.4,0.4,0.5,0.5,0.2,0.7,1,6.26
Victor Sá,Wolfsburg,28, AM(CLR)  , AM(CLR)  ,3(18),1,1,0.5,0.5,0.5,0.3,0.2,0.5,1,6.25
Bastian Oczipka,Schalke,34," D(CL),M(L)  "," D(CL),M(L)  ",20(7),0,2,0.3,0.9,0.3,0.6,0,0.6,1,6.24
Bartosz Bialek,Wolfsburg,21, FW  , FW  ,1(18),2,0,0.5,0.2,0.1,0.2,0.1,0.1,1,6.23
Jan Thielmann,FC Koln,20," AM(CLR),FW  "," AM(CLR),FW  ",9(15),2,3,0.5,0.4,0.1,0.3,0.1,0.5,1.4,6.23
Ádám Szalai,Mainz,35, FW  , FW  ,8(10),1,0,0.8,0.3,0.3,0.7,0.3,1.1,2.3,6.21
Benito Raman,Schalke,28," AM(LR),FW  "," AM(LR),FW  ",13(12),2,0,1,0.6,0.5,0.5,0.2,0.6,1.4,6.21
Sven Schipplock,Arminia Bielefeld,34, FW  , FW  ,5(27),1,0,0.5,0.3,0.3,0.9,0.1,0.2,0.7,6.19
Christian Gebauer,Arminia Bielefeld,29," D(R),M(R)  "," D(R),M(R)  ",5(18),1,1,0.4,0.5,0.1,0.4,0,0.4,0.6,6.17
Hwang Hee-Chan,RBL,27," AM(CLR),FW  "," AM(CLR),FW  ",3(15),0,1,0.6,0.2,0.4,0.6,0.1,0.7,0.6,6.16
Sebastian Griesbeck,Union Berlin,32," D(C),DMC  "," D(C),DMC  ",8(16),0,0,0.2,0,0,0.3,0.1,0.3,0.5,6.13
