Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Kyle Walker-Peters,Southampton,25," D(LR),M(R)  ",30,2649,0,2,4,0,0.6,80.9,0.5,0,6.84
Danny Ings,Southampton,30," AM(C),FW  ",26(3),2185,12,4,1,0,2,66.3,0.8,2,6.84
Callum Wilson,Newcastle,31, FW  ,23(3),2086,12,5,2,0,1.9,69.5,1.7,4,6.84
Trézéguet,Aston Villa,28, AM(LR)  ,12(9),1166,2,1,0,0,1.7,75.7,1.3,1,6.83
Timothy Castagne,Leicester,27," D(CLR),M(LR)  ",27,2346,2,3,1,0,0.3,84.3,1.6,2,6.82
Pascal Groß,Brighton,31," D(R),M(CR),FW  ",27(7),2482,3,8,3,0,0.9,81.6,0.6,1,6.82
Fabinho,Liverpool,29," D(CR),DMC  ",28(2),2565,0,0,6,0,0.3,90.3,1.8,0,6.82
Stuart Armstrong,Southampton,30, AM(CLR)  ,32(1),2774,4,5,3,0,1.7,80.7,0.2,2,6.82
Jordan Henderson,Liverpool,32," D(C),M(CLR)  ",20(1),1708,1,1,0,0,0.7,87.3,0.5,0,6.82
Aaron Cresswell,West Ham,33," D(CL),M(L)  ",36,3172,0,8,3,0,0.5,78.9,1,2,6.81
Chris Wood,Burnley,31, FW  ,32(1),2750,12,3,0,0,2.1,65.1,4.7,1,6.81
Eberechi Eze,Crystal Palace,24, AM(CLR)  ,29(5),2565,4,6,3,0,1.1,84.2,0.4,4,6.81
Rúben Neves,Wolves,25, DMC  ,31(5),2680,5,1,8,0,1.9,84.4,0.7,1,6.81
Fernandinho,Man City,37," D(CR),DMC  ",12(9),1185,0,2,6,0,0.7,87.2,1.4,0,6.81
Timo Werner,Chelsea,27," AM(CLR),FW  ",29(6),2608,6,8,2,0,2.3,78.8,0.3,1,6.81
Pascal Struijk,Leeds,23," D(CL),DMC  ",22(5),2074,1,0,3,0,0.5,86,1.7,0,6.81
Tyrone Mings,Aston Villa,29, D(CL)  ,36,3195,2,2,4,1,0.5,77.9,2.5,0,6.81
Jonjo Shelvey,Newcastle,31, M(C)  ,29(1),2617,1,3,7,0,1.4,76.4,0.9,0,6.80
Leandro Trossard,Brighton,28," M(CLR),FW  ",30(5),2622,5,5,2,0,1.7,78.8,0.1,2,6.80
Joachim Andersen,Fulham,26, D(C)  ,30(1),2730,1,1,7,1,0.4,81.4,3.2,2,6.79
Karl Darlow,Newcastle,32, GK  ,25,2250,0,0,3,0,0,45.7,0.7,1,6.79
Rob Holding,Arsenal,27, D(CR)  ,28(2),2558,0,1,2,0,0.5,87,2.4,1,6.79
Anwar El Ghazi,Aston Villa,27," AM(LR),FW  ",17(11),1617,10,0,2,0,2.3,75.3,1,2,6.78
Abdoulaye Doucouré,Everton,30, M(C)  ,29,2452,2,3,6,0,0.6,85.1,1.3,0,6.78
Pablo Fornals,West Ham,27, M(CLR)  ,31(2),2583,5,4,3,0,1.5,79.4,0.7,1,6.78
Pierre-Emerick Aubameyang,Arsenal,33," M(CLR),FW  ",26(3),2337,10,3,2,0,2,78,1.2,1,6.78
Ben Godfrey,Everton,25, D(CLR)  ,29(2),2683,0,2,4,0,0.5,84.7,1.8,0,6.78
Che Adams,Southampton,26," AM(CL),FW  ",30(6),2675,9,5,1,0,1.5,70.3,1.5,0,6.77
Adam Webster,Brighton,28, D(C)  ,29,2595,1,0,4,0,0.9,80.9,2.7,1,6.77
