Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Edin Dzeko,Roma,36, FW  ,20(7),1828,0.3,0,0.9,0,0.4,0.2,0.1,0,6.91
Berat Djimsiti,Atalanta,30, D(C)  ,28(5),2629,1.2,1.9,0.9,0.2,2.5,0.5,0.6,0,6.90
Omar Colley,Sampdoria,30, D(C)  ,28(1),2590,1,2.3,1.2,1.2,4.6,0.3,1,0,6.90
Federico Dimarco,Verona,25," D(CL),M(L)  ",29(6),2616,0.9,1.3,0.9,0.1,1.3,0.5,0.3,0,6.90
Dusan Vlahovic,Fiorentina,23, FW  ,34(3),2933,0.4,0.1,1.4,0,0.4,0.3,0.1,0,6.90
Adrien Rabiot,Juventus,27," DMC,M(L)  ",25(9),2314,2.1,1.3,1.3,0,0.8,0.9,0.3,0,6.90
Joaquín Correa,Lazio,28," AM(CL),FW  ",25(3),1945,0.8,0.3,0.9,0,0.4,0.6,0,0,6.90
Milan Skriniar,Inter,28, D(C)  ,31(1),2779,1.5,0.9,1.1,0.2,2.7,0.3,0.6,0,6.90
Gianluca Mancini,Roma,26," D(C),DMC  ",33,2855,1.6,2.2,2,0.9,2.2,0.5,0.6,0,6.89
Mattia Zaccagni,Verona,27," AM(CL),FW  ",33(3),2630,0.8,0.8,1,0,0.3,0.5,0.1,0,6.89
Stefan de Vrij,Inter,31, D(C)  ,30(2),2732,0.9,1.3,0.6,0.3,2.9,0.3,0.6,0,6.89
Dries Mertens,Napoli,35," AM(CLR),FW  ",18(11),1464,0.6,0.3,0.5,0,0.1,0.7,0,0,6.88
Morten Thorsby,Sampdoria,26, M(CLR)  ,29(4),2648,2.3,0.8,2.2,0.1,0.8,1.2,0.5,0,6.87
Rafael Leão,AC Milan,23," AM(CL),FW  ",22(8),1934,0.4,0.1,0.9,0,0.4,0.3,0,0,6.87
Simone Bastoni,Spezia,26," D(L),DMC,M(L)  ",19(3),1530,2.3,0.7,1.6,0.2,1.3,1.1,0,0,6.86
Kalidou Koulibaly,Napoli,31, D(C)  ,25(1),2211,1.4,1.1,1.1,0.7,2.2,0.5,1,0,6.86
Bremer,Torino,25, D(C)  ,33,2936,1.5,2.1,0.9,0.4,4.1,0.5,0.6,0,6.86
Ibañez,Roma,24, D(C)  ,28(2),2402,2,2.3,1.8,0.9,2.6,0.7,0.6,1,6.86
Alessandro Bastoni,Inter,23, D(C)  ,33,2926,1.1,1.2,1.2,0.2,2.2,0.3,0.5,0,6.85
Francesco Acerbi,Lazio,35, D(C)  ,32,2815,1.6,2.4,1,0.3,3.6,0.7,0.5,0,6.85
Matteo Politano,Napoli,29," AM(CLR),FW  ",22(15),1911,0.6,0.4,0.4,0,0.5,1,0,0,6.85
Jérémie Boga,Sassuolo,26," AM(CLR),FW  ",20(7),1790,0.4,0.3,0.3,0,0.2,0.3,0,0,6.85
Hans Hateboer,Atalanta,29," D(R),M(R)  ",20(2),1765,1.3,0.8,0.9,0.1,0.4,0.5,0,0,6.84
Kevin Strootman,Genoa,33, DMC  ,18,1330,1.7,1.4,1.4,0.1,0.8,1,0.2,0,6.83
Stephane Singo,Torino,22, M(R)  ,20(8),1854,1,1,1,0.1,1.3,0.6,0.1,0,6.83
Gian Marco Ferrari,Sassuolo,30, D(C)  ,33(1),3015,0.9,1.5,1.2,0.5,2.8,0.4,1.1,0,6.82
Musa Barrow,Bologna,24," AM(CL),FW  ",34(4),2934,0.7,0.3,0.4,0,0.3,0.4,0.1,0,6.82
Matthijs de Ligt,Juventus,23, D(C)  ,25(2),2221,1.4,1.1,1.5,0.3,2.4,0.4,0.8,0,6.82
Koray Günter,Verona,28, D(C)  ,21(6),1771,0.7,2.6,1.1,0.4,3.1,0.2,0.9,0,6.81
Franck Ribéry,Fiorentina,39," AM(CL),FW  ",28(1),2172,0.8,0.1,1.2,0,0,0.8,0.1,0,6.81
Emil Audero,Sampdoria,26, GK  ,37,3330,0,0,0,0,0.6,0,0,0,6.81
Elseid Hysaj,Napoli,29," D(LR),M(R)  ",20(4),1773,1.2,1.3,0.7,0.1,1.8,0.7,0.2,0,6.81
Alessio Cragno,Cagliari,28, GK  ,34,3060,0,0,0.1,0,0.7,0,0,0,6.80
Gianluigi Donnarumma,AC Milan,24, GK  ,37,3330,0,0,0,0,0.9,0,0,0,6.80
Alexis Sánchez,Inter,34," M(CLR),FW  ",12(18),1139,0.5,0.2,0.6,0,0,0.4,0,0,6.79
MBala Nzola,Spezia,26, FW  ,21(4),1898,0.5,0.1,2.2,0,0.8,0.1,0,0,6.79
Antonio Candreva,Sampdoria,36, M(CLR)  ,28(7),2512,0.8,0.3,0.4,0.1,0.5,0.9,0.1,0,6.79
Nikola Milenkovic,Fiorentina,25, D(CR)  ,34,3036,1.4,1.3,1.6,0.8,3.6,0.4,1,0,6.79
Mattia Perin,Genoa,30, GK  ,32,2880,0,0,0.1,0,0.6,0,0,0,6.78
Razvan Marin,Cagliari,26, M(C)  ,35(2),2977,1.5,0.8,1.3,0,0.4,0.7,0.3,0,6.78
Armando Izzo,Torino,31, D(C)  ,24(1),2011,1.2,2.1,1.7,0.3,2.4,0.8,0.4,0,6.78
Francesco Caputo,Sassuolo,35, FW  ,19(6),1702,0,0,0.6,0,0.1,0.1,0,0,6.77
Diego Demme,Napoli,31, DMC  ,20(4),1597,2.3,0.5,1.4,0,0.6,1.7,0,0,6.77
Takehiro Tomiyasu,Bologna,24, D(CLR)  ,31,2719,1.5,1.7,1,0.5,3.3,0.4,0.6,1,6.77
Bram Nuytinck,Udinese,32, D(C)  ,19(1),1643,1.1,1.3,0.4,0.1,3.6,0.4,0.9,0,6.77
Davide Zappacosta,Genoa,30," D(LR),M(LR)  ",23(2),2034,1.3,0.7,0.9,0,1.5,0.6,0,0,6.77
Tiémoué Bakayoko,Napoli,28, DMC  ,23(9),1973,2.2,1.1,1.1,0,0.3,0.5,0.1,0,6.76
Stefan Radu,Lazio,36, D(CL)  ,30(1),2466,1.4,1.5,0.6,0.2,2.3,0.5,0.5,0,6.75
Aaron Ramsey,Juventus,32, M(CLR)  ,13(9),1093,1,0.3,0.9,0,0.3,0.8,0.1,0,6.75
Alessio Romagnoli,AC Milan,28, D(CL)  ,21(1),1907,0.8,1.1,0.9,0.4,3.5,0.5,1,0,6.75
Cristian Ansaldi,Torino,36," D(CLR),M(CLR)  ",20(11),1941,1.5,0.5,0.8,0.2,1,0.5,0.2,0,6.74
Radja Nainggolan,Cagliari,34, M(C)  ,22,1848,1.9,0.7,1,0,0.7,0.7,0,0,6.74
Gianluca Caprari,Benevento,29," AM(CLR),FW  ",23(7),1880,0.5,0.6,0.8,0,0.2,0.8,0,0,6.74
Simy,Crotone,30, FW  ,31(7),2945,0.2,0.2,1.3,0,1.3,0.5,0.1,0,6.73
José Luis Palomino,Atalanta,33, D(C)  ,25(11),2423,1.9,2.2,1.3,0.3,1.5,0.7,0.4,0,6.73
Hernani,Parma Calcio 1913,28, M(CL)  ,27(6),2200,1.5,0.9,1.5,0,1.1,1.1,0.1,0,6.73
Bartosz Bereszynski,Sampdoria,30," D(CLR),M(R)  ",29(2),2607,2.1,1.4,0.9,0.3,2.2,1,0.6,0,6.72
Diogo Dalot,AC Milan,23," D(LR),M(R)  ",10(11),1082,1.5,1.2,1.2,0,1.8,0.8,0.2,0,6.72
Nahitan Nández,Cagliari,27, M(CLR)  ,31(1),2741,1.8,0.7,1.3,0.1,1.5,1.3,0.1,0,6.72
Riccardo Orsolini,Bologna,26," M(CR),FW  ",21(13),1759,1.1,0.3,0.6,0,0.6,0.7,0.1,0,6.72
Filip Djuricic,Sassuolo,31," AM(CLR),FW  ",27(5),2099,1,0.3,1.6,0,0.4,0.6,0.1,0,6.72
Wojciech Szczesny,Juventus,32, GK  ,30,2677,0,0.1,0,0,0.7,0,0,0,6.71
Fabio Quagliarella,Sampdoria,40, FW  ,25(8),2215,0.4,0.2,0.8,0,0.3,0.5,0,0,6.71
Ismaël Bennacer,AC Milan,25, DMC  ,17(4),1336,1.9,1,1,0,0.6,0.8,0,0,6.71
Giacomo Bonaventura,Fiorentina,33, M(CLR)  ,27(7),2267,1,1.1,1.1,0,0.3,1.1,0.1,0,6.71
Lukasz Skorupski,Bologna,31, GK  ,28,2520,0,0,0,0,1.2,0.1,0,0,6.71
Rodrigo Palacio,Bologna,41," AM(CLR),FW  ",28(8),2508,0.4,0.2,1.1,0,0.8,0.4,0,0,6.71
Giangiacomo Magnani,Verona,27, D(C)  ,15(10),1510,1,1.8,1.8,0.2,4,0.3,0.6,1,6.70
Yordan Osorio,Parma Calcio 1913,28, D(C)  ,21(2),1812,1,2.3,0.7,0.6,3.2,0.7,0.8,0,6.70
Gastón Brugman,Parma Calcio 1913,30, M(C)  ,21(5),1625,1.3,1.7,1,0,1.2,1.3,0.2,0,6.70
Gianluca Scamacca,Genoa,24, FW  ,13(13),1349,0.7,0.3,1.2,0,0.5,0.5,0.2,1,6.70
Arkadiusz Reca,Crotone,27," D(L),M(L)  ",28(2),2319,1.1,1.7,1.1,0.2,1.9,1.2,0.1,0,6.70
Christian Eriksen,Inter,31," M(CLR),FW  ",17(9),1393,0.5,0.3,0.5,0,0.4,0.5,0,0,6.69
Jerdy Schouten,Bologna,26, DMC  ,28(6),2520,1.5,2.3,1.4,0.1,1,0.6,0.4,0,6.69
Antonín Barak,Verona,28, AM(CR)  ,32(2),2772,0.9,0.4,1.8,0,1.1,1,0.2,0,6.69
Dejan Kulusevski,Juventus,22," AM(CR),FW  ",19(16),1919,0.9,0.3,1.2,0,0.1,0.8,0,0,6.69
Mattia Destro,Genoa,31, FW  ,22(7),1617,0.2,0.1,1.3,0,0.3,0.2,0,0,6.68
Jordan Veretout,Roma,30, M(C)  ,25(4),2063,0.7,0.4,1.1,0,0.7,0.8,0.1,0,6.68
Hamed Traorè,Sassuolo,23, AM(CLR)  ,20(15),1792,0.8,0.5,0.7,0,0.3,0.6,0.1,0,6.68
Erick Pulgar,Fiorentina,29, DMC  ,21(10),1999,1.3,1.3,0.7,0.1,1.3,0.9,0.3,0,6.68
Weston McKennie,Juventus,24," D(C),M(CLR)  ",18(16),1699,1,0.8,1.3,0,0.7,0.6,0.1,0,6.68
Giuseppe Pezzella,Parma Calcio 1913,25," D(L),M(L)  ",21(3),1835,1.4,0.5,1,0.1,1.8,0.8,0.4,0,6.68
Domenico Criscito,Genoa,36," D(CL),M(L)  ",20(3),1727,1.9,1.9,1,0.3,2.2,0.7,0.6,0,6.68
Albin Ekdal,Sampdoria,33, M(C)  ,26(6),2304,1.8,1.5,1.5,0,1,1.3,0.4,0,6.68
Ivan Perisic,Inter,34," M(CLR),FW  ",20(12),1803,0.7,0.6,0.4,0,1,0.7,0.1,0,6.67
