Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Daichi Kamada,Eintracht Frankfurt,26," AM(CLR),FW  ",18(3),1554,7,4,2,0,1.1,83.9,0.5,2,6.93
Gregor Kobel,Borussia Dortmund,25, GK  ,18,1620,0,0,0,0,0,78.8,0.2,1,6.91
Dodi Lukébakio,Hertha Berlin,25," AM(CLR),FW  ",19(3),1667,10,1,6,0,2.2,72,0.5,3,6.90
Rafal Gikiewicz,Augsburg,35, GK  ,19,1710,0,0,2,0,0,70.5,0.3,3,6.89
Rodrigo Zalazar,Schalke,23, M(C)  ,8(5),730,1,2,3,0,1.9,64.4,0.9,2,6.89
Jae-Sung Lee,Mainz,30," AM(CLR),FW  ",17(6),1343,7,3,2,0,1,74.7,1.2,3,6.87
Sheraldo Becker,Union Berlin,28," AM(CLR),FW  ",22(1),1659,7,4,1,0,1.7,64.9,0.6,2,6.86
Dayot Upamecano,Bayern,24, D(C)  ,21,1800,0,1,3,1,0.3,90.1,1.7,0,6.86
Lucas Tousart,Hertha Berlin,25, DMC  ,22,1958,3,1,0,0,1.1,64.1,2.8,3,6.85
Anton Stach,Mainz,24, M(C)  ,14(6),1345,1,3,4,0,1.2,70.6,2.3,1,6.85
Julian Ryerson,Union Berlin,25," D(R),M(CLR)  ",12(1),1042,0,0,2,0,1.2,73.5,0.4,0,6.85
Manu Koné,Borussia M.Gladbach,21, DMC  ,22,1929,1,1,9,0,0.9,86.7,0.6,0,6.85
Lars Stindl,Borussia M.Gladbach,34," M(CLR),FW  ",14(4),1186,5,6,7,0,1.7,79.1,0.4,0,6.84
Yannick Gerhardt,Wolfsburg,28," D(L),M(CL)  ",15(3),1245,6,2,2,0,1.2,74.8,0.8,2,6.84
Ritsu Doan,Freiburg,24," AM(CLR),FW  ",20(3),1612,2,3,2,0,1.7,73.4,0,0,6.83
Ermedin Demirovic,Augsburg,24," AM(L),FW  ",22,1768,7,3,5,0,2.2,49.6,2,1,6.82
Timo Hübers,FC Koln,26, D(C)  ,17(1),1568,1,0,5,0,0.3,82.7,2.8,0,6.82
Koen Casteels,Wolfsburg,30, GK  ,23,2070,0,0,0,0,0,74.1,0.1,2,6.82
Georginio Rutter,Hoffenheim,20, FW  ,11(4),1010,2,2,2,0,1.8,63.9,0.7,1,6.82
Marco Reus,Borussia Dortmund,33," M(CLR),FW  ",12(3),1030,4,4,2,0,1.7,80.4,0.5,1,6.82
Jesper Lindstrøm,Eintracht Frankfurt,23," AM(CR),FW  ",20(2),1547,7,2,2,0,2,68.1,0.3,2,6.82
Marc Oliver Kempf,Hertha Berlin,28, D(C)  ,23,2007,0,0,4,0,0.4,77.9,4,0,6.81
Robin Knoche,Union Berlin,30, D(C)  ,22,1980,2,0,3,0,0.3,80.9,1.9,1,6.81
Marius Wolf,Borussia Dortmund,27," D(R),M(CLR)  ",10(6),962,1,1,1,0,1,76.7,0.3,3,6.81
Mats Hummels,Borussia Dortmund,34, D(C)  ,15(4),1257,0,0,4,0,0.6,87.6,2.3,0,6.81
Timo Werner,RBL,27," AM(CLR),FW  ",13(4),1163,6,2,2,0,2.1,76.8,0.2,3,6.80
Ozan Kabak,Hoffenheim,22, D(C)  ,21,1770,2,2,7,1,1,84.5,3.1,1,6.80
Nicolas Höfler,Freiburg,33," D(C),DMC  ",22,1926,0,1,7,0,0.6,84.1,1.7,0,6.80
Alassane Plea,Borussia M.Gladbach,29," AM(CLR),FW  ",15(4),1313,2,8,4,0,1.3,71.8,0.6,2,6.79
Jonas Wind,Wolfsburg,24," AM(C),FW  ",7(6),622,4,0,0,0,1.2,68.8,2.9,1,6.79
Ridle Baku,Wolfsburg,24," D(R),M(CR)  ",22(1),1975,5,1,4,0,1,79,0.7,1,6.79
Florian Niederlechner,Augsburg,32," AM(CR),FW  ",10(4),912,4,1,1,0,2,60.4,2.1,0,6.78
Stefan Bell,Mainz,31, D(CR)  ,15(4),1409,0,0,6,0,0.3,78.7,3.1,1,6.78
Ko Itakura,Borussia M.Gladbach,26," D(C),DMC  ",13(1),1135,0,2,0,1,0.6,92.1,2.1,0,6.78
Aarón Martín,Mainz,25," D(L),M(L)  ",17(2),1447,3,3,1,0,0.7,82.9,0.1,1,6.78
Philipp Lienhart,Freiburg,26, D(C)  ,22(1),2011,1,0,3,0,0.5,85.4,2.1,1,6.78
Suat Serdar,Hertha Berlin,25, M(CLR)  ,20(2),1537,4,1,4,0,0.9,70.8,1.2,1,6.77
Mark Flekken,Freiburg,29, GK  ,23,2070,0,0,0,0,0,70.5,0.2,2,6.77
Anthony Caci,Mainz,25," D(CLR),M(L)  ",14(6),1306,2,1,1,0,0.4,74.9,0.8,0,6.76
Xaver Schlager,RBL,25, M(C)  ,16(3),1466,1,1,2,0,0.3,83.8,0.6,1,6.76
Leandro Barreiro,Mainz,23, DMC  ,15(6),1353,2,2,4,0,1.1,68.8,1.2,1,6.75
Exequiel Palacios,Leverkusen,24, M(C)  ,12(5),1018,1,1,1,0,0.6,87.2,0.6,2,6.75
Djibril Sow,Eintracht Frankfurt,26, M(C)  ,20(2),1781,3,0,5,0,0.8,85.9,0.7,0,6.75
Christopher Trimmel,Union Berlin,36," D(CR),M(R)  ",16(3),1467,0,5,1,0,0.6,65.7,0.8,0,6.74
Robert Andrich,Leverkusen,28, M(C)  ,20(1),1689,2,2,7,0,1,83.8,1.6,0,6.74
Benjamin Henrichs,RBL,26," D(LR),DMC,M(LR)  ",16(4),1504,2,1,7,0,1,75.5,0.7,0,6.74
Jeffrey Gouweleeuw,Augsburg,31, D(C)  ,22,1917,0,1,8,0,0.6,67.9,2.3,0,6.74
Emre Can,Borussia Dortmund,29," D(CLR),DMC  ",10(7),996,1,0,4,0,0.4,88.6,1.1,1,6.74
Mërgim Berisha,Augsburg,24," AM(C),FW  ",16(1),1352,6,4,7,1,2.7,54.1,2,3,6.73
