team,player,Nation,Pos,Age,Born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,League,Season
,,,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,,
Bologna,Łukasz Skorupski,POL,GK,30,1991,36,36,3240,36.0,53,1.47,174,122,74.1,11,9,16,12,33.3,9,8,1,0,11.1,Serie A,2021-2022
Cagliari,Alessio Cragno,ITA,GK,27,1994,35,35,3150,35.0,63,1.80,168,104,66.1,6,10,19,2,5.7,8,6,2,0,25.0,Serie A,2021-2022
Cagliari,Boris Radunović,SRB,GK,25,1996,3,3,270,3.0,5,1.67,17,11,76.5,0,2,1,1,33.3,2,1,1,0,50.0,Serie A,2021-2022
Empoli,Guglielmo Vicario,ITA,GK,24,1996,38,38,3420,38.0,70,1.84,216,150,69.9,10,11,17,7,18.4,10,5,2,3,28.6,Serie A,2021-2022
Fiorentina,Bartłomiej Drągowski,POL,GK,23,1997,7,7,556,6.2,8,1.29,26,17,73.1,3,0,4,2,28.6,2,1,1,0,50.0,Serie A,2021-2022
Fiorentina,Pietro Terracciano,ITA,GK,31,1990,32,31,2862,31.8,43,1.35,100,58,59.0,16,5,10,9,29.0,3,2,1,0,33.3,Serie A,2021-2022
Genoa,Adrian Šemper,CRO,GK,23,1998,1,1,90,1.0,1,1.00,4,3,75.0,0,0,1,0,0.0,0,0,0,0,,Serie A,2021-2022
Genoa,Salvatore Sirigu,ITA,GK,34,1987,37,37,3330,37.0,59,1.59,180,122,69.4,4,16,17,10,27.0,5,4,1,0,20.0,Serie A,2021-2022
Hellas Verona,Alessandro Berardi,ITA,GK,30,1991,1,1,90,1.0,3,3.00,7,4,57.1,0,1,0,0,0.0,0,0,0,0,,Serie A,2021-2022
Hellas Verona,Ivor Pandur,CRO,GK,21,2000,3,3,270,3.0,6,2.00,15,9,66.7,1,0,2,0,0.0,1,1,0,0,0.0,Serie A,2021-2022
Hellas Verona,Lorenzo Montipò,ITA,GK,25,1996,34,34,3060,34.0,50,1.47,137,88,65.0,13,10,11,4,11.8,3,2,1,0,33.3,Serie A,2021-2022
Inter,Ionuț Radu,ROU,GK,24,1997,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,Serie A,2021-2022
Inter,Samir Handanović,SVN,GK,37,1984,37,37,3330,37.0,30,0.81,124,95,79.0,25,9,3,15,40.5,4,4,0,0,0.0,Serie A,2021-2022
Juventus,Carlo Pinsoglio,ITA,GK,31,1990,1,0,45,0.5,1,2.00,2,1,100.0,0,0,0,0,,1,1,0,0,0.0,Serie A,2021-2022
Juventus,Mattia Perin,ITA,GK,28,1992,5,5,405,4.5,7,1.56,16,10,56.3,2,1,2,1,20.0,0,0,0,0,,Serie A,2021-2022
Juventus,Wojciech Szczęsny,POL,GK,31,1990,33,33,2970,33.0,29,0.88,105,73,75.2,18,9,6,12,36.4,6,3,3,0,50.0,Serie A,2021-2022
Lazio,Pepe Reina,ESP,GK,38,1982,15,15,1350,15.0,29,1.93,60,31,58.3,6,4,5,2,13.3,5,4,0,1,0.0,Serie A,2021-2022
Lazio,Thomas Strakosha,ALB,GK,26,1995,23,23,2070,23.0,29,1.26,86,58,67.4,12,6,5,7,30.4,1,1,0,0,0.0,Serie A,2021-2022
Milan,Ciprian Tătărușanu,ROU,GK,35,1986,6,6,540,6.0,10,1.67,24,14,66.7,4,1,1,1,16.7,3,2,1,0,33.3,Serie A,2021-2022
Milan,Mike Maignan,FRA,GK,26,1995,32,32,2880,32.0,21,0.66,101,81,81.2,22,7,3,17,53.1,2,2,0,0,0.0,Serie A,2021-2022
Napoli,Alex Meret,ITA,GK,24,1997,7,7,619,6.9,6,0.87,29,23,79.3,5,1,1,2,28.6,0,0,0,0,,Serie A,2021-2022
Napoli,David Ospina,COL,GK,32,1988,31,31,2790,31.0,25,0.81,106,82,77.4,19,6,6,13,41.9,1,1,0,0,0.0,Serie A,2021-2022
Napoli,Davide Marfella,ITA,GK,21,1999,1,0,11,0.1,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,,Serie A,2021-2022
Roma,Rui Patrício,POR,GK,33,1988,38,38,3420,38.0,43,1.13,146,104,74.0,18,9,11,15,39.5,6,5,1,0,16.7,Serie A,2021-2022
Salernitana,Luigi Sepe,ITA,GK,30,1991,16,16,1392,15.5,24,1.55,78,54,73.1,4,8,4,1,6.3,3,3,0,0,0.0,Serie A,2021-2022
Salernitana,Vid Belec,SVN,GK,31,1990,23,21,1938,21.5,49,2.28,135,87,65.9,3,2,16,1,4.8,5,3,1,1,25.0,Serie A,2021-2022
Salernitana,Vincenzo Fiorillo,ITA,GK,31,1990,1,1,90,1.0,5,5.00,8,3,37.5,0,0,1,0,0.0,0,0,0,0,,Serie A,2021-2022
Sampdoria,Emil Audero,ITA,GK,24,1997,29,29,2560,28.4,48,1.69,130,82,63.8,8,5,16,5,17.2,2,1,1,0,50.0,Serie A,2021-2022
Sampdoria,Nicola Ravaglia,ITA,GK,32,1988,1,0,5,0.1,1,18.00,1,0,100.0,0,0,0,0,,1,1,0,0,0.0,Serie A,2021-2022
Sampdoria,Wladimiro Falcone,ITA,GK,26,1995,10,9,855,9.5,14,1.47,54,41,75.9,2,1,6,2,22.2,1,1,0,0,0.0,Serie A,2021-2022
Sassuolo,Andrea Consigli,ITA,GK,34,1987,37,37,3322,36.9,63,1.71,171,108,67.8,13,11,13,3,8.1,9,8,1,0,11.1,Serie A,2021-2022
Sassuolo,Giacomo Satalino,ITA,GK,22,1999,1,0,8,0.1,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,Serie A,2021-2022
Sassuolo,Gianluca Pegolo,ITA,GK,40,1981,1,1,90,1.0,3,3.00,5,2,40.0,0,0,1,0,0.0,0,0,0,0,,Serie A,2021-2022
Spezia,Ivan Provedel,ITA,GK,27,1994,31,31,2761,30.7,52,1.70,165,116,73.9,9,5,17,7,22.6,11,9,0,2,0.0,Serie A,2021-2022
Spezia,Jeroen Zoet,NED,GK,30,1991,7,7,630,7.0,19,2.71,43,23,58.1,1,1,5,0,0.0,2,1,1,0,50.0,Serie A,2021-2022
Spezia,Petar Zovko,BIH,GK,19,2002,1,0,29,0.3,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Serie A,2021-2022
Torino,Etrit Berisha,ALB,GK,32,1989,10,10,900,10.0,8,0.80,41,32,85.4,3,4,3,4,40.0,3,2,1,0,33.3,Serie A,2021-2022
Torino,Luca Gemello,ITA,GK,21,2000,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Serie A,2021-2022
Torino,Vanja Milinković-Savić,SRB,GK,24,1997,27,27,2430,27.0,33,1.22,80,46,67.5,9,7,11,4,14.8,8,7,1,0,12.5,Serie A,2021-2022
Udinese,Daniele Padelli,ITA,GK,35,1985,3,3,270,3.0,8,2.67,21,13,61.9,1,0,2,1,33.3,0,0,0,0,,Serie A,2021-2022
Udinese,Marco Silvestri,ITA,GK,30,1991,35,35,3150,35.0,50,1.43,141,92,68.1,10,14,11,7,20.0,7,5,0,2,0.0,Serie A,2021-2022
Venezia,Luca Lezzerini,ITA,GK,26,1995,6,6,495,5.5,9,1.64,39,30,76.9,2,1,3,0,0.0,0,0,0,0,,Serie A,2021-2022
Venezia,Niki Mäenpää,FIN,GK,36,1985,17,16,1485,16.5,27,1.64,84,57,73.8,1,4,11,1,6.3,6,5,0,1,0.0,Serie A,2021-2022
Venezia,Sergio Romero,ARG,GK,34,1987,16,16,1440,16.0,33,2.06,105,74,74.3,3,4,9,3,18.8,6,6,0,0,0.0,Serie A,2021-2022
