Name,Team,Age,Position,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating,League,Saison,Start Application,Remplacement Application,Key passes per game,Passes per game,Crosses per game,Long balls per game,Through balls per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Dribble
Daniele De Rossi,Roma,35,"Midfielder, Forward",2811,7.0,3,9.0,0.0,1.8,80.4,0.6,1.0,7.48,SerieA,2009,33,0,1.2,52.5,0.1,6.2,0.4,1.2,1.7,0.1,0.8,0.0,0.0
Mauro Zárate,Lazio,32,"Midfielder, Forward",2535,3.0,4,8.0,1.0,4.3,76.9,0.2,2.0,7.43,SerieA,2009,27,5,1.8,25.9,0.8,0.7,0.3,4.4,2.8,0.4,2.8,0.0,0.0
Antonio Cassano,Sampdoria,36,"Midfielder, Forward",2706,9.0,8,3.0,0.0,2.4,69.6,0.4,2.0,7.32,SerieA,2009,30,2,2.2,32.8,1.1,1.3,0.7,1.7,3.3,0.7,3.1,0.0,0.0
Wesley Sneijder,Inter,35,"Midfielder, Forward",1943,4.0,6,3.0,2.0,3.2,82.6,0.0,1.0,7.31,SerieA,2009,24,2,3.0,48.5,1.8,2.9,0.5,0.7,1.5,0.0,2.0,0.0,0.0
Domenico Criscito,Genoa,32,"Midfielder, Forward",2427,2.0,2,8.0,1.0,0.8,78.0,0.9,2.0,7.29,SerieA,2009,28,1,0.7,38.3,0.6,1.4,0.0,0.3,0.8,0.0,0.7,0.0,0.0
Marek Hamsik,Napoli,31,"Midfielder, Forward",3246,12.0,5,1.0,0.0,2.4,83.5,0.2,2.0,7.29,SerieA,2009,37,0,1.8,42.5,1.2,2.2,0.5,0.8,0.7,0.2,1.2,0.0,0.0
Samuel Eto'o,Inter,38,"Midfielder, Forward",2499,12.0,6,5.0,0.0,3.1,82.6,0.1,3.0,7.26,SerieA,2009,27,5,1.6,26.9,0.2,1.0,0.3,0.9,1.3,0.7,2.0,0.0,0.0
Diego,Juventus,34,"Midfielder, Forward",2560,5.0,7,3.0,0.0,2.4,81.3,0.2,4.0,7.25,SerieA,2009,31,2,2.5,41.6,1.9,2.1,0.4,1.3,3.1,0.3,2.2,0.0,0.0
Esteban Cambiasso,Inter,38,"Midfielder, Forward",2311,3.0,2,3.0,0.0,0.8,88.4,0.1,2.0,7.25,SerieA,2009,26,4,0.9,44.9,0.4,3.9,0.1,0.3,0.7,0.0,0.5,0.0,0.0
Ezequiel Lavezzi,Napoli,34,"Midfielder, Forward",2379,8.0,6,4.0,1.0,2.1,74.2,0.2,3.0,7.23,SerieA,2009,27,3,1.6,25.9,1.1,1.0,0.5,1.8,2.9,0.8,2.8,0.0,0.0
